id_herb,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi
,Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adas Pedas (Melayu); Adeh, Manih (Minangkabau)",,"Merupakan tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat."
,Akar manis,Glycyrrhiza glabra,Kayu Legi (Jawa); Manis Kati (Sumatera); Ote Gula (Aceh); I Lekka (Bugis); Madur (Bali).,,"Adalah tanaman perdu yang sering tumbuh di daerah tropis, dikenal dengan rasa manis yang berasal dari akarnya. Tanaman ini memiliki batang bercabang, daun majemuk, dan bunga kecil yang berwarna biru hingga ungu. Akar tanaman ini kaya akan senyawa glycyrrhizin yang memberikan rasa manis alami dan khasiat medis. Dalam pengobatan tradisional, sering digunakan untuk meredakan radang tenggorokan dan batuk. Tanaman ini juga diketahui memiliki sifat antiinflamasi dan meningkatkan kesehatan sistem imun.","Batuk
Radang Lambung
Nyeri sendi
Susah tidur
Sakit tenggorokan","Glycyrrhizin, flavonoid, saponin, kumarin, sterol, minyak atsiri."
,Alang-alang,Imperata cylindrica,"Ilalang (Jawa, Sunda); Lalang (Sumatera); Hawu (Nusa Tenggara); Eri (Maluku); Balua (Bugis).",,"Merupakan tumbuhan liar yang sering ditemukan di lahan terbuka, pinggir jalan, atau daerah pertanian. Tanaman ini memiliki batang yang panjang, daun berbentuk pita, dan akar yang menyebar luas. Sering digunakan dalam pengobatan tradisional karena kemampuannya untuk menyerap racun dan menghentikan pendarahan. Khasiatnya meliputi meredakan panas dalam, menurunkan demam, dan membantu mengatasi infeksi saluran kemih. Tanaman ini juga dikenal sebagai sumber serat alami yang baik untuk kesehatan pencernaan.","Panas dalam
Infeksi saluran kemih
Darah tinggi
Batuk
Mimisan","Kalium, manitol, glukosa, asam sitrat, asam malat, protein."
,Andong,Cordyline fruticosa,Andong (Jawa); Hanjuang (Sunda); Endong (Madura); Hanja (Dayak); Rontong (Bugis).,,"Adalah tanaman hias yang juga memiliki manfaat pengobatan, dengan daun berwarna hijau kemerahan yang tumbuh rimbun. Tanaman ini sering ditemukan di pekarangan rumah atau taman, tumbuh baik di daerah beriklim tropis. Selain digunakan untuk menghias, daunnya memiliki kandungan senyawa bioaktif yang bermanfaat untuk kesehatan. Secara tradisional, daunnya digunakan untuk menghentikan pendarahan dan mempercepat penyembuhan luka. Selain itu, ekstrak tanaman ini juga diketahui memiliki sifat antimikroba dan antioksidan.","Mimisan
Luka
Nyeri haid
Iritasi kulit
Wasir","Flavonoid, saponin, tanin, polifenol, zat besi."
,Aren,Arenga pinnata,"Aren (Jawa, Sunda); Bagot (Batak); Bilulu (Nusa Tenggara); Kalapa Gading (Minangkabau); Puteh Jawo (Aceh).",,"Adalah pohon palem yang dikenal sebagai sumber gula aren, dengan batang tinggi, serat kasar, dan daun yang menjuntai. Tanaman ini tumbuh subur di daerah tropis dengan curah hujan tinggi. Selain menghasilkan gula alami, pohon ini juga digunakan untuk membuat nira dan bahan bangunan. Dalam pengobatan tradisional, sering dimanfaatkan untuk meningkatkan energi dan memperbaiki metabolisme tubuh. Bagian batang dan daunnya juga mengandung senyawa bioaktif yang dipercaya dapat meningkatkan daya tahan tubuh.","Batuk
Sembelit
Demam
Anemia
Perut kembung","Sukrosa, glukosa, kalsium, magnesium, fosfor, protein."
,Asam jawa,Tamarindus indica,Asem (Jawa); Bakasap (Aceh); Kayu Asam (Melayu); Koseka (Sulawesi); Tangkal Asem (Sunda).,,"Merupakan tanaman yang dikenal dengan buahnya yang memiliki rasa asam segar, sering digunakan dalam masakan tradisional dan sebagai bahan obat. Pohonnya tumbuh besar dengan daun kecil majemuk dan buah berwarna coklat kehijauan. Dalam pengobatan tradisional, tanaman ini dipercaya membantu melancarkan pencernaan, mengurangi demam, dan meredakan nyeri otot. Buahnya kaya akan vitamin C dan senyawa antioksidan yang baik untuk menjaga kesehatan tubuh. Selain itu, bagian biji dan daunnya juga memiliki manfaat medis untuk berbagai penyakit ringan.","Demam
Batuk
Sembelit
Sakit tenggorokan
Nyeri haid","Asam tartarat, pektin, flavonoid, saponin, tanin, vitamin C."
,Bawang merah,Allium cepa,"Brambang (Jawa, Sunda); Bawang Ulo (Madura); Maliso (Sulawesi); Bawang Puteh (Aceh); Beleuto (Gorontalo).",,"Merupakan salah satu tanaman bumbu yang sangat populer di Indonesia, dengan daun panjang berlapis dan umbi berwarna merah. Tanaman ini tumbuh subur di dataran rendah hingga tinggi, membutuhkan tanah yang lembap namun tidak terlalu basah. Selain menjadi bahan utama masakan, tanaman ini kaya akan senyawa sulfur yang memiliki sifat antibakteri alami. Khasiat utamanya meliputi meredakan flu, meningkatkan imunitas, dan menjaga kesehatan jantung. Umbinya juga sering digunakan sebagai komponen dalam pengobatan tradisional untuk mengatasi infeksi ringan.","Demam
Batuk
Masuk angin
Nyeri sendi
Luka","Sulfur, quercetin, flavonoid, vitamin C, allicin, serat."
,Bawang putih,Allium sativum,Bawang Kampong (Melayu); Bagasu (Batak); Pasemang (Minangkabau); Bawang Getah (Sumatera); Maliso (Sulawesi).,,"Adalah tanaman berbentuk umbi yang dikenal dengan aroma khas dan rasanya yang pedas. Umbinya berwarna putih dengan lapisan tipis, tumbuh baik di daerah tropis dengan tanah subur. Mengandung senyawa allicin, tanaman ini memiliki sifat antibiotik alami yang kuat. Secara umum, digunakan untuk meningkatkan daya tahan tubuh, mengontrol tekanan darah, dan melawan infeksi. Selain itu, tanaman ini juga dipercaya membantu menurunkan kadar kolesterol jahat dalam darah.","Flu
Darah tinggi
Kolesterol
Nyeri otot
Iritasi kulit","Allicin, saponin, flavonoid, selenium, vitamin C, minyak atsiri."
,Bayam,Amaranthus sp.,Bayem (Jawa); Bayam Alas (Dayak); Bayeun (Aceh); Timbeng (Minangkabau); Balonci (Sulawesi).,,"Merupakan tanaman hijau yang sering digunakan sebagai bahan makanan, terutama dalam masakan berkuah atau sebagai lalapan. Daunnya berbentuk oval kecil dengan batang berwarna hijau kemerahan. Tumbuh subur di berbagai kondisi, tanaman ini kaya akan zat besi dan vitamin C. Khasiat utamanya meliputi meningkatkan kadar hemoglobin dalam darah, melawan anemia, dan memperbaiki metabolisme tubuh. Selain itu, konsumsi tanaman ini secara rutin juga diketahui dapat meningkatkan daya tahan tubuh.","Anemia
Sembelit
Lemah otot
Perut kembung
Iritasi kulit","Zat besi, vitamin A, vitamin C, kalsium, magnesium, flavonoid."
,Belimbing,Averrhoa carambola,Blimbing Manis (Jawa); Karuntung (Sulawesi); Buah Belimbing (Sumatera); Balimbing (Melayu); Liem Beng (Batak).,,"Adalah pohon buah yang sering ditanam di pekarangan rumah, dikenal dengan buahnya yang memiliki rasa manis dan segar. Daunnya berbentuk lonjong, dan buahnya berwarna kuning kehijauan saat matang. Kaya akan vitamin C dan serat, buah tanaman ini membantu menjaga kesehatan kulit dan sistem pencernaan. Dalam pengobatan tradisional, sering digunakan untuk mengatasi dehidrasi dan menguatkan sistem imun. Pohonnya juga memiliki nilai estetika tinggi sebagai tanaman penghias halaman rumah.","Demam
Darah tinggi
Sembelit
Batuk
Jerawat","Vitamin C, kalium, flavonoid, serat, oksalat."
